county,year,month,births,Pop2010
"Tazewell County, IL",2016,December,49,135394
"Tazewell County, IL",2017,January,51,135394
"Tazewell County, IL",2017,February,46,135394
"Tazewell County, IL",2017,March,51,135394
"Tazewell County, IL",2017,April,42,135394
"Tazewell County, IL",2017,May,57,135394
"Tazewell County, IL",2017,June,53,135394
"Tazewell County, IL",2017,July,49,135394
"Tazewell County, IL",2017,August,61,135394
"Tazewell County, IL",2017,September,43,135394
"Tazewell County, IL",2017,October,45,135394
"Tazewell County, IL",2017,November,58,135394
"Tazewell County, IL",2017,December,52,135394
"Tazewell County, IL",2018,January,44,135394
"Tazewell County, IL",2018,February,39,135394
"Tazewell County, IL",2018,March,46,135394
"Tazewell County, IL",2018,April,49,135394
"Tazewell County, IL",2018,May,51,135394
"Tazewell County, IL",2018,June,47,135394
"Tazewell County, IL",2018,July,61,135394
"Tazewell County, IL",2018,August,53,135394
"Tazewell County, IL",2018,September,58,135394
"Tazewell County, IL",2018,October,45,135394
"Tazewell County, IL",2018,November,41,135394
"Tazewell County, IL",2018,December,39,135394
"Tazewell County, IL",2019,January,54,135394
"Tazewell County, IL",2019,February,42,135394
"Tazewell County, IL",2019,March,43,135394
"Tazewell County, IL",2019,April,57,135394
"Tazewell County, IL",2019,May,41,135394
"Tazewell County, IL",2019,June,51,135394
"Tazewell County, IL",2019,July,39,135394
"Tazewell County, IL",2019,August,54,135394
"Tazewell County, IL",2019,September,48,135394
"Tazewell County, IL",2019,October,48,135394
"Tazewell County, IL",2019,November,43,135394
"Tazewell County, IL",2019,December,40,135394
"Woodbury County, IA",2016,January,56,102172
"Woodbury County, IA",2016,February,49,102172
"Woodbury County, IA",2016,March,41,102172
"Woodbury County, IA",2016,April,52,102172
"Woodbury County, IA",2016,May,48,102172
"Woodbury County, IA",2016,June,40,102172
"Woodbury County, IA",2016,July,53,102172
"Woodbury County, IA",2016,August,51,102172
"Woodbury County, IA",2016,September,58,102172
"Woodbury County, IA",2016,October,46,102172
"Woodbury County, IA",2016,November,43,102172
"Woodbury County, IA",2016,December,37,102172
"Woodbury County, IA",2017,January,45,102172
"Woodbury County, IA",2017,February,35,102172
"Woodbury County, IA",2017,March,42,102172
"Woodbury County, IA",2017,April,36,102172
"Woodbury County, IA",2017,May,43,102172
"Woodbury County, IA",2017,June,39,102172
"Woodbury County, IA",2017,July,52,102172
"Woodbury County, IA",2017,August,46,102172
"Woodbury County, IA",2017,September,42,102172
"Woodbury County, IA",2017,October,51,102172
"Woodbury County, IA",2017,November,39,102172
"Woodbury County, IA",2017,December,38,102172
"Woodbury County, IA",2018,January,33,102172
"Woodbury County, IA",2018,February,38,102172
"Woodbury County, IA",2018,March,48,102172
"Woodbury County, IA",2018,April,50,102172
"Woodbury County, IA",2018,May,49,102172
"Woodbury County, IA",2018,June,38,102172
"Woodbury County, IA",2018,July,44,102172
"Woodbury County, IA",2018,August,48,102172
"Woodbury County, IA",2018,September,46,102172
"Woodbury County, IA",2018,October,42,102172
"Woodbury County, IA",2018,November,47,102172
"Woodbury County, IA",2018,December,30,102172
"Woodbury County, IA",2019,January,40,102172
"Woodbury County, IA",2019,February,41,102172
"Woodbury County, IA",2019,March,35,102172
"Woodbury County, IA",2019,April,53,102172
"Woodbury County, IA",2019,May,57,102172
"Woodbury County, IA",2019,June,38,102172
"Woodbury County, IA",2019,July,43,102172
"Woodbury County, IA",2019,August,52,102172
"Woodbury County, IA",2019,September,40,102172
"Woodbury County, IA",2019,October,46,102172
